budget,genres,id,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count
220000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",24428,en,144.448633,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Marvel Studios"", ""id"": 420}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-04-25,1519557910,143.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",7.4,11776
380000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",1865,en,135.413856,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-05-14,1045713802,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",6.4,4948
225000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",41154,en,52.035179,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Media Magik Entertainment"", ""id"": 5627}, {""name"": ""Imagenation Abu Dhabi FZ"", ""id"": 6736}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-05-23,624026776,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",6.2,4160
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",122917,en,120.96574299999999,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""3Foot7"", ""id"": 7413}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-12-10,956019788,144.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",7.1,4760
215000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",1930,en,89.866276,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Entertainment"", ""id"": 7505}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-06-27,752215857,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",6.5,6586
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",20662,en,37.668301,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Relativity Media"", ""id"": 7295}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-05-12,310669540,140.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",6.2,1398
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",57158,en,94.370564,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-12-11,958400000,161.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",7.6,4524
180000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2268,en,42.990906,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Depth of Field"", ""id"": 1473}, {""name"": ""Scholastic Productions"", ""id"": 1938}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-12-04,372234864,113.0,"[{""iso_639_1"": ""is"", ""name"": ""\u00cdslenska""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",5.8,1303
207000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",254,en,61.226009999999995,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Big Primate Pictures"", ""id"": 68}, {""name"": ""MFPV Film"", ""id"": 69}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",2005-12-14,550000000,187.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",6.6,2337
200000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",597,en,100.025899,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-11-18,1845034188,194.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",7.5,7562
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",271110,en,198.37239499999998,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Walt Disney Studios Motion Pictures"", ""id"": 3036}, {""name"": ""Vita-Ray Dutch Productions (III)"", ""id"": 84424}, {""name"": ""Deluxe Digital Studios"", ""id"": 84425}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-04-27,1153304495,147.0,"[{""iso_639_1"": ""ro"", ""name"": ""Rom\u00e2n\u0103""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",7.1,7241
209000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",44833,en,64.928382,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Hasbro"", ""id"": 2598}, {""name"": ""Bluegrass Films"", ""id"": 13778}, {""name"": ""Film 44"", ""id"": 20153}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-04-11,303025485,131.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",5.5,2114
150000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",135397,en,418.708552,"[{""name"": ""Universal Studios"", ""id"": 13}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-09,1513528810,124.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",6.5,8662
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",37724,en,93.004993,"[{""name"": ""Columbia Pictures"", ""id"": 5}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-10-25,1108561013,143.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",6.9,7604
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",558,en,35.149586,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-06-25,783766341,127.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",6.7,4321
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",68721,en,77.68208,"[{""name"": ""Marvel Studios"", ""id"": 420}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-04-18,1215439994,130.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",6.8,8806
200000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",12155,en,78.530105,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Team Todd"", ""id"": 598}, {""name"": ""Tim Burton Productions"", ""id"": 8601}, {""name"": ""Roth Films"", ""id"": 16314}, {""name"": ""Zanuck Company, The"", ""id"": 20004}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-03-03,1025491110,108.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",6.4,4645
210000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",36668,en,3.857526,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Major Studio Partners"", ""id"": 445}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""thinkfilm"", ""id"": 12247}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""X3 Canada Productions"", ""id"": 79028}, {""name"": ""X3US Productions"", ""id"": 79029}, {""name"": ""XM3 Service"", ""id"": 79030}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-05-24,459359555,104.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",6.3,3525
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",62211,en,89.186492,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-20,743559607,104.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",7.0,3528
150000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",8373,en,21.939663,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""Hasbro Studios"", ""id"": 22826}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-06-19,836297228,150.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",6.0,3138
210000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",91314,en,116.840296,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""China Movie Channel"", ""id"": 11413}, {""name"": ""Hasbro Studios"", ""id"": 22826}, {""name"": ""Ian Bryce Productions"", ""id"": 38833}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-06-25,1091405097,165.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",5.8,3095
200000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",68728,en,46.985445,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Roth Films"", ""id"": 16314}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-03-07,491868548,130.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",5.7,3530
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",102382,en,89.270217,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""Avi Arad Productions"", ""id"": 31828}, {""name"": ""Matt Tolmach Productions"", ""id"": 53462}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-04-16,705717432,142.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",6.5,4179
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",20526,en,73.79505,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""LivePlanet"", ""id"": 7161}, {""name"": ""Prana Studios"", ""id"": 18713}, {""name"": ""Sean Bailey Productions"", ""id"": 23791}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}, {""name"": ""Kontsept Film Company"", ""id"": 76067}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-12-10,400062763,125.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",6.3,2841
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",49013,en,49.98659,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-06-11,559852396,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",5.8,2033
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",44912,en,51.872839,"[{""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-06-16,219851172,114.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",5.1,2487
